number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
79,0.44388827681541443,2026-03-10 14:42:03.750894,2026-03-10 14:42:09.432240,0 days 00:00:05.681346,64,False,0.5517826835223594,128,0.00164019902473685,2,5.919660392792674e-05,0.8354838709677419,121,COMPLETE
80,0.49371981620788574,2026-03-10 14:42:09.434049,2026-03-10 14:42:15.227128,0 days 00:00:05.793079,64,False,0.5566780588388045,128,0.0017947709374824337,1,5.979430655013944e-05,0.8161290322580645,122,COMPLETE
81,0.5172494053840637,2026-03-10 14:42:15.227128,2026-03-10 14:42:20.915135,0 days 00:00:05.688007,64,False,0.5673095602612188,128,0.0016115562998888766,2,8.060303140633882e-05,0.8032258064516129,123,COMPLETE
82,0.45313239097595215,2026-03-10 14:42:20.915135,2026-03-10 14:42:27.613958,0 days 00:00:06.698823,64,False,0.529976901286836,192,0.0014667872147494981,2,0.00011619688069166313,0.7903225806451613,124,COMPLETE
83,0.6133082509040833,2026-03-10 14:42:27.613958,2026-03-10 14:42:33.285203,0 days 00:00:05.671245,64,False,0.5403605458863028,128,0.0019853923382820715,2,7.523515492185397e-05,0.7758064516129032,125,COMPLETE
84,0.4219377338886261,2026-03-10 14:42:33.285203,2026-03-10 14:42:39.023158,0 days 00:00:05.737955,64,False,0.5781319652681388,128,0.0014776121302311528,2,0.00010931937060831293,0.8032258064516129,126,COMPLETE
85,0.5168606042861938,2026-03-10 14:42:39.023158,2026-03-10 14:42:44.745046,0 days 00:00:05.721888,64,False,0.5799141719289986,128,0.0015868838392564127,2,0.00010845449041977857,0.7741935483870968,127,COMPLETE
86,0.5573269724845886,2026-03-10 14:42:44.745046,2026-03-10 14:42:50.439785,0 days 00:00:05.694739,64,False,0.5274692576046885,128,0.0014741197462206752,2,0.00014349149499107288,0.8080645161290323,128,COMPLETE
87,0.6419938057661057,2026-03-10 14:42:50.439785,2026-03-10 14:42:58.868397,0 days 00:00:08.428612,16,False,0.5566391680022389,128,0.0015696664060146964,2,9.627571735345091e-05,0.8,129,COMPLETE
88,0.5698322653770447,2026-03-10 14:42:58.868397,2026-03-10 14:43:04.768410,0 days 00:00:05.900013,64,False,0.5726494291024521,128,0.0018170013702272978,3,0.00011237071768900642,0.7935483870967742,130,COMPLETE
89,0.6194443702697754,2026-03-10 14:43:04.768410,2026-03-10 14:43:11.307227,0 days 00:00:06.538817,32,False,0.49842129853629935,128,0.0016809919579437631,2,0.00013503199929669607,0.8080645161290323,131,COMPLETE
90,0.6036024689674377,2026-03-10 14:43:11.307227,2026-03-10 14:43:17.242926,0 days 00:00:05.935699,64,False,0.5444536565614931,64,0.0017385227038226063,2,0.00017170626439407517,0.7758064516129032,132,COMPLETE
91,0.5290494561195374,2026-03-10 14:43:17.242926,2026-03-10 14:43:23.284125,0 days 00:00:06.041199,64,False,0.5287968432245357,96,0.001322200551337663,3,8.304279533644942e-05,0.7919354838709677,133,COMPLETE
92,0.5476197600364685,2026-03-10 14:43:23.284125,2026-03-10 14:43:29.331755,0 days 00:00:06.047630,64,False,0.5999330522815443,192,0.0012695163602233007,1,0.0001281652756915648,0.7967741935483871,134,COMPLETE
93,0.5584137439727783,2026-03-10 14:43:29.331755,2026-03-10 14:43:35.010507,0 days 00:00:05.678752,64,False,0.5596869274191586,64,0.001465608727632511,2,5.3549028645383285e-05,0.7983870967741936,135,COMPLETE
94,0.5519871711730957,2026-03-10 14:43:35.010507,2026-03-10 14:43:41.949590,0 days 00:00:06.939083,64,False,0.4656861682925964,192,0.0015657216629301463,2,6.906230021642798e-05,0.7806451612903227,136,COMPLETE
95,0.6021823287010193,2026-03-10 14:43:41.959323,2026-03-10 14:43:47.616252,0 days 00:00:05.656929,64,False,0.5842814450879131,128,0.0014030673508248028,2,9.329260774796419e-05,0.7612903225806452,137,COMPLETE
96,0.5345576405525208,2026-03-10 14:43:47.618254,2026-03-10 14:43:53.563045,0 days 00:00:05.944791,64,False,0.38974208689970297,64,0.001453202063413893,3,4.6366510140115754e-05,0.7951612903225806,138,COMPLETE
97,0.5280364155769348,2026-03-10 14:43:53.564045,2026-03-10 14:43:59.681052,0 days 00:00:06.117007,64,False,0.5078369870120409,96,0.0016443901596160597,3,2.3672762607694837e-05,0.8225806451612903,139,COMPLETE
98,0.5187287330627441,2026-03-10 14:43:59.681052,2026-03-10 14:44:06.753520,0 days 00:00:07.072468,64,False,0.4413015502439241,256,0.0015188832124242344,2,4.079260024927382e-05,0.7774193548387097,140,COMPLETE
99,0.5829005837440491,2026-03-10 14:44:06.753520,2026-03-10 14:44:14.393346,0 days 00:00:07.639826,64,False,0.49285495656200645,192,0.0012466991125240163,3,3.282494138918887e-05,0.7306451612903225,141,COMPLETE
