number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
37,0.29968634247779846,2025-11-16 00:30:28.801854,2025-11-16 00:30:48.439710,0 days 00:00:19.637856,64,True,0.5616085216057446,256,0.0007236710291855989,2,0.0004582082928416047,COMPLETE
38,0.3933713634808858,2025-11-16 00:30:48.440709,2025-11-16 00:30:57.142968,0 days 00:00:08.702259,16,True,0.5600860152482781,96,0.0007113617298563274,1,0.000211671304838518,COMPLETE
39,0.2755420207977295,2025-11-16 00:30:57.142968,2025-11-16 00:31:16.922418,0 days 00:00:19.779450,64,True,0.597120603590344,256,0.0007776976852456776,2,0.0004671447043256893,COMPLETE
40,0.5559702217578888,2025-11-16 00:31:16.922418,2025-11-16 00:31:20.341905,0 days 00:00:03.419487,32,False,0.5976634709647463,192,0.0009044631701438656,2,0.0003080282576961685,PRUNED
41,0.3750571310520172,2025-11-16 00:31:20.341905,2025-11-16 00:31:40.058520,0 days 00:00:19.716615,64,True,0.5755195497793342,256,0.0007879091845782761,2,0.0004598143540057399,COMPLETE
42,0.34911155700683594,2025-11-16 00:31:40.058520,2025-11-16 00:31:59.761318,0 days 00:00:19.702798,64,True,0.5596045666365351,256,0.0007463958738611313,2,0.00048199046064275003,COMPLETE
43,0.3478345274925232,2025-11-16 00:31:59.761318,2025-11-16 00:32:19.304198,0 days 00:00:19.542880,64,True,0.5812311126355982,256,0.0005402841285007014,2,0.0003945546781141498,COMPLETE
44,0.41733313848574954,2025-11-16 00:32:19.307912,2025-11-16 00:33:08.379103,0 days 00:00:49.071191,16,True,0.5509597070760363,256,0.0006543246411355611,2,0.000650280088332881,COMPLETE
45,0.6224246025085449,2025-11-16 00:33:08.381105,2025-11-16 00:33:09.600088,0 days 00:00:01.218983,64,True,0.5184228127255156,64,0.0007369469797532865,2,0.00030686966794011867,PRUNED
46,0.40949520468711853,2025-11-16 00:33:09.600088,2025-11-16 00:33:29.199706,0 days 00:00:19.599618,64,True,0.4923376276815412,256,0.0008331886541911324,2,0.00023376137287331838,COMPLETE
47,0.4166809767484665,2025-11-16 00:33:29.199706,2025-11-16 00:33:58.007271,0 days 00:00:28.807565,16,True,0.23883030875119088,256,0.0005942374982696173,1,0.00018364852266983782,COMPLETE
48,0.5728623270988464,2025-11-16 00:33:58.007271,2025-11-16 00:33:59.305681,0 days 00:00:01.298410,64,False,0.39004976058534135,96,0.0005312886364902681,2,0.00013179518383378552,PRUNED
49,0.45009590685367584,2025-11-16 00:33:59.307688,2025-11-16 00:34:31.314453,0 days 00:00:32.006765,32,True,0.5826624272761323,192,0.0006478975396648354,2,0.00030831656610592895,COMPLETE
50,0.41562652587890625,2025-11-16 00:34:31.314453,2025-11-16 00:34:51.013622,0 days 00:00:19.699169,64,True,0.5535371806773185,256,0.0011458522350275382,2,0.0005544414830487998,COMPLETE
51,0.3439044952392578,2025-11-16 00:34:51.013622,2025-11-16 00:35:10.620529,0 days 00:00:19.606907,64,True,0.5398738120317889,256,0.0005982635866239484,2,0.0009447865615406325,COMPLETE
52,0.31368958950042725,2025-11-16 00:35:10.630281,2025-11-16 00:35:30.184273,0 days 00:00:19.553992,64,True,0.5990113851044778,256,0.0007096622598666455,2,0.0004201126269673113,COMPLETE
53,0.37672293186187744,2025-11-16 00:35:30.184273,2025-11-16 00:35:49.784055,0 days 00:00:19.599782,64,True,0.5977677636763967,256,0.0007108131554345611,2,0.0004219081236447267,COMPLETE
54,0.2894253730773926,2025-11-16 00:35:49.784055,2025-11-16 00:36:09.425658,0 days 00:00:19.641603,64,True,0.5848829123173827,256,0.0006880214591526643,2,0.0007593122150059634,COMPLETE
55,0.3648223578929901,2025-11-16 00:36:09.425658,2025-11-16 00:36:29.297588,0 days 00:00:19.871930,64,True,0.5703385562447368,256,0.0009451720380868676,2,0.0007508260794918339,COMPLETE
56,0.5819143056869507,2025-11-16 00:36:29.297588,2025-11-16 00:36:30.534797,0 days 00:00:01.237209,64,True,0.5511813205402387,64,0.0017198329904365211,2,0.0005978548274273827,PRUNED
57,0.3538450300693512,2025-11-16 00:36:30.534797,2025-11-16 00:36:50.288544,0 days 00:00:19.753747,64,True,0.5202620003814964,256,0.0005867030373507096,2,0.0005030996438230899,COMPLETE
58,0.46657930811246234,2025-11-16 00:36:50.288544,2025-11-16 00:37:39.442416,0 days 00:00:49.153872,16,True,0.4969833844221542,256,0.0006334287568063611,2,0.00011035509431076124,COMPLETE
59,0.5099382996559143,2025-11-16 00:37:39.442416,2025-11-16 00:37:41.777618,0 days 00:00:02.335202,64,False,0.565108010059413,256,0.0006823248479338791,2,0.0007984260777614214,PRUNED
60,0.41990385949611664,2025-11-16 00:37:41.777618,2025-11-16 00:38:10.168050,0 days 00:00:28.390432,32,True,0.5848986430951475,256,0.0008537911048008531,2,0.0003383269757038633,COMPLETE
61,0.41748276352882385,2025-11-16 00:38:10.168050,2025-11-16 00:38:29.846942,0 days 00:00:19.678892,64,True,0.5984019180019164,256,0.0007416027832455609,2,0.0006326212242319728,COMPLETE
62,0.41299235820770264,2025-11-16 00:38:29.846942,2025-11-16 00:38:49.417503,0 days 00:00:19.570561,64,True,0.583537292057321,256,0.0008010414059366177,2,0.0009719454479000579,COMPLETE
